Company,N (days),Mean,SD,Median,Mode,Min,Max,Range,Q1,Q2 (Median),Q3,IQR,Coeff. of Variation (SD/Mean),Avg Slope (₹/day)
HCL,364,1284.9754122220552,187.28391039538062,1255.6749877929688,1063.8499755859375,1032.800048828125,1686.4000244140625,653.5999755859375,1121.0624694824219,1255.6749877929688,1441.4999694824219,320.4375,0.1457490225992093,0.9962434331391267
Infosys,364,1457.8789827116243,114.21666483131008,1454.375,1414.449951171875,1223.4000244140625,1729.449951171875,506.0499267578125,1389.0874938964844,1454.375,1532.5875244140625,143.50003051757812,0.07834440731072856,0.25772882539024805
TCS,364,3564.5469782902646,289.8056350609191,3489.6500244140625,3220.699951171875,3089.60009765625,4219.25,1129.64990234375,3330.2999267578125,3489.6500244140625,3831.7374267578125,501.4375,0.08130223470919842,1.5267539353800244
Wipro,364,213.31744518908826,22.238524158757407,204.3125,191.1499938964844,178.10000610351562,271.5,93.39999389648438,196.8187484741211,204.3125,231.01250076293945,34.19375228881836,0.10425084614643118,0.11195254817051385
