Price,Close
Ticker,INFY.NS
Date,
2023-01-03,1396.372314453125
2023-01-04,1370.922119140625
2023-01-05,1352.9461669921875
2023-01-06,1328.459228515625
2023-01-09,1361.4296875
2023-01-10,1347.947998046875
2023-01-11,1349.32373046875
2023-01-12,1357.8988037109375
2023-01-13,1379.0386962890625
2023-01-16,1399.077880859375
2023-01-17,1411.9176025390625
2023-01-18,1417.3287353515625
2023-01-19,1411.3675537109375
2023-01-20,1399.1236572265625
2023-01-23,1419.7132568359375
2023-01-24,1423.2900390625
2023-01-25,1415.1275634765625
2023-01-27,1393.254150390625
2023-01-30,1411.2755126953125
2023-01-31,1406.6441650390625
2023-02-01,1422.5562744140625
2023-02-02,1452.5003662109375
2023-02-03,1466.8536376953125
2023-02-06,1439.7525634765625
2023-02-07,1432.9197998046875
2023-02-08,1458.6910400390625
2023-02-09,1482.9951171875
2023-02-10,1475.2452392578125
2023-02-13,1437.55126953125
2023-02-14,1461.2132568359375
2023-02-15,1464.6983642578125
2023-02-16,1469.0548095703125
2023-02-17,1452.54638671875
2023-02-20,1460.4793701171875
2023-02-21,1448.6026611328125
2023-02-22,1432.36962890625
2023-02-23,1422.189453125
2023-02-24,1422.1435546875
2023-02-27,1384.2203369140625
2023-02-28,1364.27294921875
2023-03-01,1372.0684814453125
2023-03-02,1350.149169921875
2023-03-03,1356.7064208984375
2023-03-06,1382.523681640625
2023-03-08,1368.995849609375
2023-03-09,1357.7154541015625
2023-03-10,1349.598876953125
2023-03-13,1316.1695556640625
2023-03-14,1302.3206787109375
2023-03-15,1301.9998779296875
2023-03-16,1287.738525390625
2023-03-17,1302.962890625
2023-03-20,1287.3258056640625
2023-03-21,1275.448974609375
2023-03-22,1274.119140625
2023-03-23,1260.6375732421875
2023-03-24,1266.23193359375
2023-03-27,1273.8441162109375
2023-03-28,1263.4346923828125
2023-03-29,1268.8916015625
2023-03-31,1309.6119384765625
2023-04-03,1293.9290771484375
2023-04-05,1305.5767822265625
2023-04-06,1304.0633544921875
2023-04-10,1309.291015625
2023-04-11,1289.61865234375
2023-04-12,1309.93310546875
2023-04-13,1274.0732421875
2023-04-17,1154.0213623046875
2023-04-18,1154.9842529296875
2023-04-19,1130.08447265625
2023-04-20,1122.0137939453125
2023-04-21,1125.6363525390625
2023-04-24,1124.6734619140625
2023-04-25,1123.3892822265625
2023-04-26,1125.8197021484375
2023-04-27,1142.969970703125
2023-04-28,1148.9315185546875
2023-05-02,1171.5843505859375
2023-05-03,1163.9722900390625
2023-05-04,1168.0076904296875
2023-05-05,1154.755126953125
2023-05-08,1160.7164306640625
2023-05-09,1165.393798828125
2023-05-10,1158.561279296875
2023-05-11,1152.003662109375
2023-05-12,1142.0069580078125
2023-05-15,1154.0672607421875
2023-05-16,1159.524169921875
2023-05-17,1143.566162109375
2023-05-18,1142.74072265625
2023-05-19,1163.7430419921875
2023-05-22,1185.6624755859375
2023-05-23,1192.3115234375
2023-05-24,1191.0274658203125
2023-05-25,1196.255126953125
2023-05-26,1208.26953125
2023-05-29,1205.47216796875
2023-05-30,1214.1390380859375
