Date,HCL,Infosys,TCS,Wipro
2023-01-03,1041.3499755859375,1522.550048828125,3311.35009765625,198.5249938964844
2023-01-04,1036.5999755859375,1494.800048828125,3314.64990234375,194.8500061035156
2023-01-05,1044.0999755859375,1475.199951171875,3311.10009765625,193.4499969482422
2023-01-06,1032.800048828125,1448.5,3211.550048828125,191.0
2023-01-09,1067.449951171875,1484.449951171875,3319.949951171875,195.8999938964844
2023-01-10,1063.8499755859375,1469.75,3286.39990234375,196.5249938964844
2023-01-11,1054.800048828125,1471.25,3328.699951171875,196.9250030517578
2023-01-12,1071.6500244140625,1480.5999755859375,3334.35009765625,197.25
2023-01-13,1077.800048828125,1503.6500244140625,3374.550048828125,196.9499969482422
2023-01-16,1093.699951171875,1525.5,3334.050048828125,199.3000030517578
2023-01-17,1111.050048828125,1539.5,3378.39990234375,198.1750030517578
2023-01-18,1115.1500244140625,1545.4000244140625,3390.0,201.6000061035156
2023-01-19,1111.4000244140625,1538.9000244140625,3373.10009765625,201.6999969482422
2023-01-20,1107.800048828125,1525.550048828125,3363.10009765625,201.5749969482422
2023-01-23,1121.199951171875,1548.0,3414.89990234375,203.5
2023-01-24,1137.8499755859375,1551.9000244140625,3436.300048828125,203.3000030517578
2023-01-25,1122.75,1543.0,3429.75,200.7749938964844
2023-01-27,1115.5999755859375,1519.1500244140625,3411.050048828125,199.0249938964844
2023-01-30,1134.75,1538.800048828125,3433.64990234375,201.125
2023-01-31,1122.199951171875,1533.75,3358.699951171875,199.4250030517578
2023-02-01,1132.0999755859375,1551.0999755859375,3408.35009765625,201.1999969482422
2023-02-02,1149.5999755859375,1583.75,3460.39990234375,204.7250061035156
2023-02-03,1146.1500244140625,1599.4000244140625,3482.300048828125,203.9499969482422
2023-02-06,1145.699951171875,1569.8499755859375,3459.949951171875,202.3249969482422
2023-02-07,1128.25,1562.4000244140625,3472.550048828125,200.25
2023-02-08,1145.0,1590.5,3520.10009765625,203.375
2023-02-09,1146.3499755859375,1617.0,3540.85009765625,204.1499938964844
2023-02-10,1115.6500244140625,1608.550048828125,3537.550048828125,202.8999938964844
2023-02-13,1113.0,1567.449951171875,3482.39990234375,200.3000030517578
2023-02-14,1125.449951171875,1593.25,3500.10009765625,202.5500030517578
2023-02-15,1132.9000244140625,1597.050048828125,3520.64990234375,203.6999969482422
2023-02-16,1128.1500244140625,1601.800048828125,3558.050048828125,204.9499969482422
2023-02-17,1109.550048828125,1583.800048828125,3501.14990234375,203.1499938964844
2023-02-20,1115.699951171875,1592.449951171875,3487.300048828125,203.5249938964844
2023-02-21,1105.199951171875,1579.5,3451.0,201.375
2023-02-22,1092.5999755859375,1561.800048828125,3401.550048828125,197.5749969482422
2023-02-23,1094.3499755859375,1550.699951171875,3413.800048828125,196.9750061035156
2023-02-24,1094.8499755859375,1550.6500244140625,3400.449951171875,196.6499938964844
2023-02-27,1083.949951171875,1509.300048828125,3331.85009765625,195.1750030517578
2023-02-28,1077.5999755859375,1487.550048828125,3312.85009765625,193.5249938964844
2023-03-01,1101.0999755859375,1496.050048828125,3385.699951171875,195.4750061035156
2023-03-02,1105.949951171875,1472.1500244140625,3321.449951171875,194.0249938964844
2023-03-03,1119.0,1479.300048828125,3342.14990234375,195.2250061035156
2023-03-06,1126.699951171875,1507.449951171875,3371.85009765625,196.875
2023-03-08,1120.6500244140625,1492.699951171875,3390.39990234375,196.3000030517578
2023-03-09,1116.6500244140625,1480.4000244140625,3336.85009765625,195.0500030517578
2023-03-10,1116.300048828125,1471.550048828125,3331.0,194.5500030517578
2023-03-13,1098.5999755859375,1435.0999755859375,3281.949951171875,192.7250061035156
2023-03-14,1084.050048828125,1420.0,3214.949951171875,189.7250061035156
2023-03-15,1079.6500244140625,1419.6500244140625,3198.89990234375,187.875
2023-03-16,1072.4000244140625,1404.0999755859375,3185.0,186.4250030517578
2023-03-17,1108.449951171875,1420.699951171875,3179.300048828125,188.25
2023-03-20,1090.8499755859375,1403.6500244140625,3143.300048828125,183.5749969482422
2023-03-21,1083.9000244140625,1390.699951171875,3106.10009765625,183.1999969482422
2023-03-22,1081.449951171875,1389.25,3130.800048828125,183.1999969482422
2023-03-23,1065.9000244140625,1374.550048828125,3124.64990234375,180.75
2023-03-24,1051.75,1380.6500244140625,3120.5,180.875
2023-03-27,1051.5,1388.949951171875,3122.300048828125,180.625
2023-03-28,1041.0999755859375,1377.5999755859375,3115.89990234375,178.10000610351562
2023-03-29,1067.5,1383.550048828125,3138.89990234375,179.52499389648438
2023-03-31,1085.25,1427.949951171875,3205.89990234375,182.625
2023-04-03,1098.1500244140625,1410.8499755859375,3200.0,183.9750061035156
2023-04-05,1111.199951171875,1423.550048828125,3239.800048828125,184.875
2023-04-06,1091.8499755859375,1421.9000244140625,3220.699951171875,183.3249969482422
2023-04-10,1103.0999755859375,1427.5999755859375,3263.39990234375,186.6499938964844
2023-04-11,1087.0,1406.1500244140625,3213.800048828125,185.125
2023-04-12,1094.5,1428.300048828125,3241.64990234375,186.0749969482422
2023-04-13,1071.8499755859375,1389.199951171875,3188.85009765625,184.1499938964844
2023-04-17,1042.199951171875,1258.300048828125,3139.5,180.6750030517578
2023-04-18,1063.8499755859375,1259.3499755859375,3130.75,183.9499969482422
2023-04-19,1038.699951171875,1232.199951171875,3089.60009765625,180.3999938964844
2023-04-20,1037.5,1223.4000244140625,3104.800048828125,181.4250030517578
2023-04-21,1048.949951171875,1227.3499755859375,3160.85009765625,184.0249938964844
2023-04-24,1054.050048828125,1226.300048828125,3174.800048828125,188.9750061035156
